KEYPOINT:0.679834s HTTP_POST:0.797701s WS_SEND:0.876865s WS_RECE:0.880064s 0:0.881505s
KEYPOINT:0.176036s HTTP_POST:0.250350s WS_SEND:0.263626s WS_RECE:0.266489s 1:0.267410s
KEYPOINT:0.635711s HTTP_POST:0.705523s WS_SEND:0.714172s WS_RECE:0.716431s 2:0.717137s
KEYPOINT:0.020689s HTTP_POST:0.141381s WS_SEND:0.150031s WS_RECE:0.151865s 3:0.152573s
KEYPOINT:0.515627s HTTP_POST:0.601701s WS_SEND:0.610181s WS_RECE:0.612423s 4:0.613542s
KEYPOINT:0.900273s HTTP_POST:0.005921s WS_SEND:0.016828s WS_RECE:0.019556s 5:0.020382s
KEYPOINT:0.375559s HTTP_POST:0.493723s WS_SEND:0.502264s WS_RECE:0.504082s 6:0.504888s
KEYPOINT:0.850290s HTTP_POST:0.957487s WS_SEND:0.965965s WS_RECE:0.967768s 7:0.968484s
KEYPOINT:0.315106s HTTP_POST:0.385452s WS_SEND:0.393922s WS_RECE:0.396194s 8:0.396941s
KEYPOINT:0.683453s HTTP_POST:0.798969s WS_SEND:0.817532s WS_RECE:0.820680s 9:0.821748s
KEYPOINT:0.194412s HTTP_POST:0.261527s WS_SEND:0.270846s WS_RECE:0.374310s 10:0.375088s
KEYPOINT:0.715854s HTTP_POST:0.782291s WS_SEND:0.790551s WS_RECE:0.792706s 11:0.793481s
KEYPOINT:0.079811s HTTP_POST:0.197882s WS_SEND:0.209146s WS_RECE:0.211394s 12:0.212167s
KEYPOINT:0.559347s HTTP_POST:0.667412s WS_SEND:0.679699s WS_RECE:0.682008s 13:0.683085s
KEYPOINT:0.044223s HTTP_POST:0.109644s WS_SEND:0.118598s WS_RECE:0.120547s 14:0.121270s
KEYPOINT:0.408577s HTTP_POST:0.478158s WS_SEND:0.489506s WS_RECE:0.492030s 15:0.492794s
KEYPOINT:0.836610s HTTP_POST:0.901524s WS_SEND:0.909898s WS_RECE:0.912472s 16:0.913220s
KEYPOINT:0.201450s HTTP_POST:0.267697s WS_SEND:0.286062s WS_RECE:0.289029s 17:0.290438s
KEYPOINT:0.669003s HTTP_POST:0.769630s WS_SEND:0.778328s WS_RECE:0.780557s 18:0.781308s
KEYPOINT:0.082258s HTTP_POST:0.146019s WS_SEND:0.156969s WS_RECE:0.159076s 19:0.159870s
KEYPOINT:0.540313s HTTP_POST:0.609571s WS_SEND:0.618102s WS_RECE:0.620614s 20:0.621320s
KEYPOINT:0.910631s HTTP_POST:0.977677s WS_SEND:0.988889s WS_RECE:0.991667s 21:0.992441s
KEYPOINT:0.342679s HTTP_POST:0.413751s WS_SEND:0.422394s WS_RECE:0.424389s 22:0.425068s
KEYPOINT:0.794843s HTTP_POST:0.898208s WS_SEND:0.907372s WS_RECE:0.910315s 23:0.911042s
KEYPOINT:0.267090s HTTP_POST:0.341553s WS_SEND:0.349944s WS_RECE:0.352328s 24:0.353079s
KEYPOINT:0.638243s HTTP_POST:0.709892s WS_SEND:0.721039s WS_RECE:0.723549s 25:0.724345s
KEYPOINT:0.071172s HTTP_POST:0.173524s WS_SEND:0.182685s WS_RECE:0.184688s 26:0.185491s
KEYPOINT:0.468746s HTTP_POST:0.537800s WS_SEND:0.547158s WS_RECE:0.550935s 27:0.551690s
KEYPOINT:0.901574s HTTP_POST:0.970310s WS_SEND:0.979017s WS_RECE:0.981260s 28:0.982021s
KEYPOINT:0.270774s HTTP_POST:0.337738s WS_SEND:0.348686s WS_RECE:0.350862s 29:0.351644s
KEYPOINT:0.733448s HTTP_POST:0.842024s WS_SEND:0.853089s WS_RECE:0.855512s 30:0.856294s
KEYPOINT:0.242423s HTTP_POST:0.314502s WS_SEND:0.333524s WS_RECE:0.336925s 31:0.337997s
KEYPOINT:0.746426s HTTP_POST:0.813701s WS_SEND:0.822486s WS_RECE:0.824830s 32:0.825550s
KEYPOINT:0.120717s HTTP_POST:0.194027s WS_SEND:0.206799s WS_RECE:0.209280s 33:0.210238s
KEYPOINT:0.645146s HTTP_POST:0.713937s WS_SEND:0.722407s WS_RECE:0.724370s 34:0.725148s
KEYPOINT:0.111796s HTTP_POST:0.181932s WS_SEND:0.193445s WS_RECE:0.195673s 35:0.196648s
